,Year,Percentage of land,Area,Area combined
0,1990,70.45802056,730,1680
1,1991,70.00565437,30,1730
2,1992,69.55328817,786,1861
3,1993,69.10092198,896,1099
4,1994,68.64855578,896,1099
5,1995,68.19618958,59,3033
6,1996,67.74382339,161,1194
7,1997,67.29145719,227,1396
8,1998,66.83909099,383,1348
9,1999,66.3867248,259,1662
10,2000,65.9343586,226,1570
11,2001,65.4616709,165,1613
12,2002,64.98898319,650,1586
13,2003,64.51629549,396,1783
14,2004,64.04360779,772,2774
15,2005,63.57092009,14,1288
16,2006,63.09823238,286,1041
17,2007,62.62554468,651,1815
18,2008,62.15285698,911,1272
19,2009,61.68016927,464,330
20,2010,61.20748157,0,770
21,2011,61.02332816,418,128
22,2012,60.83917474,571,741
23,2013,60.65502133,891,485
24,2014,60.47086792,12,962
25,2015,60.28671451,207,784
26,2016,60.07103255,893,1986
27,2017,59.83288148,947,1238
28,2018,59.70842795,536,1595
